height velocity(m/s) Temperature(K)
93.0 9.92535285464 293.0
93.5 9.93086820647 293.0
94.0 9.93635414483 293.0
94.5 9.94181098179 293.0
95.0 9.94723902446 293.0
95.5 9.95263857514 293.0
96.0 9.95800993136 293.0
96.5 9.96335338605 293.0
97.0 9.96866922758 293.0
97.5 9.97395773987 293.0
98.0 9.97921920248 293.0
98.5 9.98445389072 293.0
99.0 9.98966207571 293.0
99.5 9.99484402447 293.0
100.0 10.0 293.0
100.5 10.0051302614 293.0
101.0 10.0102350638 293.0
101.5 10.0153146587 293.0
102.0 10.0203692939 293.0
102.5 10.0253992133 293.0
103.0 10.0304046576 293.0
103.5 10.0353858638 293.0
104.0 10.0403430654 293.0
104.5 10.0452764928 293.0
105.0 10.0501863728 293.0
105.5 10.0550729293 293.0
106.0 10.0599363826 293.0
106.5 10.0647769504 293.0
107.0 10.0695948469 293.0
107.5 10.0743902835 293.0
108.0 10.0791634687 293.0
108.5 10.0839146079 293.0
109.0 10.088643904 293.0
109.5 10.0933515568 293.0
110.0 10.0980377636 293.0
110.5 10.1027027188 293.0
111.0 10.1073466143 293.0
111.5 10.1119696394 293.0
112.0 10.1165719809 293.0
112.5 10.121153823 293.0
113.0 10.1257153476 293.0
113.5 10.1302567339 293.0
114.0 10.1347781591 293.0
114.5 10.1392797979 293.0
115.0 10.1437618226 293.0
115.5 10.1482244036 293.0
116.0 10.1526677086 293.0
116.5 10.1570919036 293.0
117.0 10.1614971522 293.0
117.5 10.1658836159 293.0
118.0 10.1702514544 293.0
118.5 10.1746008252 293.0
119.0 10.1789318836 293.0
119.5 10.1832447834 293.0
120.0 10.187539676 293.0
120.5 10.1918167113 293.0
121.0 10.1960760372 293.0
121.5 10.2003177996 293.0
122.0 10.2045421429 293.0
122.5 10.2087492095 293.0
123.0 10.2129391402 293.0
123.5 10.217112074 293.0
124.0 10.2212681482 293.0
124.5 10.2254074985 293.0
125.0 10.2295302589 293.0
125.5 10.233636562 293.0
126.0 10.2377265386 293.0
126.5 10.241800318 293.0
127.0 10.245858028 293.0
127.5 10.2498997948 293.0
